## taxon_id	STRING_type	STRING_name_compact	official_name_NCBI
5085	core	Aspergillus fumigatus	Aspergillus fumigatus
5141	core	Neurospora crassa	Neurospora crassa
5180	periphery	Sclerotinia sclerotiorum	Sclerotinia sclerotiorum
5270	core	Ustilago maydis	Ustilago maydis
5297	core	Puccinia graminis	Puccinia graminis
5306	periphery	Phanerochaete chrysosporium	Phanerochaete chrysosporium
5507	periphery	Fusarium oxysporum	Fusarium oxysporum
5518	core	Gibberella zeae	Gibberella zeae
5661	periphery	Leishmania donovani	Leishmania donovani
5664	periphery	Leishmania major	Leishmania major
5691	periphery	Trypanosoma brucei	Trypanosoma brucei
5722	core	Trichomonas vaginalis	Trichomonas vaginalis
5759	periphery	Entamoeba histolytica	Entamoeba histolytica
5762	periphery	Naegleria gruberi	Naegleria gruberi
5786	core	Dictyostelium purpureum	Dictyostelium purpureum
5811	periphery	Toxoplasma gondii	Toxoplasma gondii
5821	periphery	Plasmodium berghei	Plasmodium berghei
5825	periphery	Plasmodium chabaudi	Plasmodium chabaudi
5833	core	Plasmodium falciparum	Plasmodium falciparum
5850	periphery	Plasmodium knowlesi	Plasmodium knowlesi
5855	periphery	Plasmodium vivax	Plasmodium vivax
5911	periphery	Tetrahymena thermophila	Tetrahymena thermophila
6085	core	Hydra magnipapillata	Hydra magnipapillata
6183	core	Schistosoma mansoni	Schistosoma mansoni
6238	periphery	Caenorhabditis briggsae	Caenorhabditis briggsae
6239	core	Caenorhabditis elegans	Caenorhabditis elegans
6334	periphery	Trichinella spiralis	Trichinella spiralis
6669	core	Daphnia pulex	Daphnia pulex
6945	core	Ixodes scapularis	Ixodes scapularis
7029	core	Acyrthosiphon pisum	Acyrthosiphon pisum
7070	periphery	Tribolium castaneum	Tribolium castaneum
7091	core	Bombyx mori	Bombyx mori
7159	periphery	Aedes aegypti	Aedes aegypti
7165	periphery	Anopheles gambiae	Anopheles gambiae
7176	periphery	Culex quinquefasciatus	Culex quinquefasciatus
7217	periphery	Drosophila ananassae	Drosophila ananassae
7222	periphery	Drosophila grimshawi	Drosophila grimshawi
7227	core	Drosophila melanogaster	Drosophila melanogaster
7237	periphery	Drosophila pseudoobscura	Drosophila pseudoobscura
7244	periphery	Drosophila virilis	Drosophila virilis
7245	periphery	Drosophila yakuba	Drosophila yakuba
7260	periphery	Drosophila willistoni	Drosophila willistoni
7425	core	Nasonia vitripennis	Nasonia vitripennis
7460	core	Apis mellifera	Apis mellifera
7668	periphery	Strongylocentrotus purpuratus	Strongylocentrotus purpuratus
7719	core	Ciona intestinalis	Ciona intestinalis
7739	core	Branchiostoma floridae	Branchiostoma floridae
7757	periphery	Petromyzon marinus	Petromyzon marinus
7897	core	Latimeria chalumnae	Latimeria chalumnae
7955	periphery	Danio rerio	Danio rerio
8049	core	Gadus morhua	Gadus morhua
8083	core	Xiphophorus maculatus	Xiphophorus maculatus
8090	periphery	Oryzias latipes	Oryzias latipes
8128	core	Oreochromis niloticus	Oreochromis niloticus
8364	core	Xenopus Silurana	Xenopus (Silurana) tropicalis
9031	core	Gallus gallus	Gallus gallus
9103	periphery	Meleagris gallopavo	Meleagris gallopavo
9258	core	Ornithorhynchus anatinus	Ornithorhynchus anatinus
9305	core	Sarcophilus harrisii	Sarcophilus harrisii
9315	periphery	Macropus eugenii	Macropus eugenii
9361	periphery	Dasypus novemcinctus	Dasypus novemcinctus
9371	periphery	Echinops telfairi	Echinops telfairi
9478	periphery	Tarsius syrichta	Tarsius syrichta
9483	core	Callithrix jacchus	Callithrix jacchus
9544	periphery	Macaca mulatta	Macaca mulatta
9593	core	Gorilla gorilla	Gorilla gorilla
9598	periphery	Pan troglodytes	Pan troglodytes
9601	periphery	Pongo abelii	Pongo abelii
9606	core	Homo sapiens	Homo sapiens
9615	core	Canis lupus	Canis lupus familiaris
9646	core	Ailuropoda melanoleuca	Ailuropoda melanoleuca
9669	core	Mustela putorius	Mustela putorius furo
9685	periphery	Felis catus	Felis catus
9739	core	Tursiops truncatus	Tursiops truncatus
9785	core	Loxodonta africana	Loxodonta africana
9796	periphery	Equus caballus	Equus caballus
9813	periphery	Procavia capensis	Procavia capensis
9823	periphery	Sus scrofa	Sus scrofa
9913	periphery	Bos taurus	Bos taurus
9986	periphery	Oryctolagus cuniculus	Oryctolagus cuniculus
10020	periphery	Dipodomys ordii	Dipodomys ordii
10090	core	Mus musculus	Mus musculus
10116	periphery	Rattus norvegicus	Rattus norvegicus
10141	periphery	Cavia porcellus	Cavia porcellus
10228	core	Trichoplax adhaerens	Trichoplax adhaerens
12957	core	Atta cephalotes	Atta cephalotes
13037	core	Danaus plexippus	Danaus plexippus
13616	core	Monodelphis domestica	Monodelphis domestica
13684	periphery	Phaeosphaeria nodorum	Phaeosphaeria nodorum
13735	core	Pelodiscus sinensis	Pelodiscus sinensis
15368	periphery	Brachypodium distachyon	Brachypodium distachyon
28377	periphery	Anolis carolinensis	Anolis carolinensis
29760	periphery	Vitis vinifera	Vitis vinifera
29850	core	Gaeumannomyces graminis	Gaeumannomyces graminis
29875	core	Hypocrea virens	Hypocrea virens
30608	periphery	Microcebus murinus	Microcebus murinus
30611	core	Otolemur garnettii	Otolemur garnettii
31033	periphery	Takifugu rubripes	Takifugu rubripes
31234	periphery	Caenorhabditis remanei	Caenorhabditis remanei
31964	core	Clavibacter michiganensis sepedonicus	Clavibacter michiganensis subsp. sepedonicus
32049	core	Synechococcus sp. PCC7002	Synechococcus sp. PCC 7002
32051	periphery	Synechococcus sp. WH7803	Synechococcus sp. WH 7803
33169	core	Eremothecium gossypii	Eremothecium gossypii
33178	periphery	Aspergillus terreus	Aspergillus terreus
34740	periphery	Heliconius melpomene	Heliconius melpomene
35128	core	Thalassiosira pseudonana	Thalassiosira pseudonana
36630	core	Neosartorya fischeri	Neosartorya fischeri
36870	core	Wigglesworthia glossinidia Gb	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis
37347	periphery	Tupaia belangeri	Tupaia belangeri
37692	core	Phytoplasma mali	Candidatus Phytoplasma mali
39416	periphery	Tuber melanosporum	Tuber melanosporum
39946	periphery	Oryza sativa Indica	Oryza sativa Indica Group
39947	core	Oryza sativa Japonica	Oryza sativa Japonica Group
40041	periphery	Streptococcus equi	Streptococcus equi subsp. zooepidemicus
40559	core	Botryotinia fuckeliana	Botryotinia fuckeliana
41431	periphery	Cyanothece sp. PCC8801	Cyanothece sp. PCC 8801
43151	periphery	Anopheles darlingi	Anopheles darlingi
43179	core	Ictidomys tridecemlineatus	Ictidomys tridecemlineatus
43989	periphery	Cyanothece sp. ATCC51142	Cyanothece sp. ATCC 51142
44689	core	Dictyostelium discoideum	Dictyostelium discoideum
45157	periphery	Cyanidioschyzon merolae	Cyanidioschyzon merolae
45351	periphery	Nematostella vectensis	Nematostella vectensis
50743	periphery	unidentified eubacterium SCB49	unidentified eubacterium SCB49
51453	periphery	Hypocrea jecorina	Hypocrea jecorina
51511	periphery	Ciona savignyi	Ciona savignyi
52598	core	Sulfitobacter sp. EE36	Sulfitobacter sp. EE-36
54126	periphery	Pristionchus pacificus	Pristionchus pacificus
56780	core	Syntrophus aciditrophicus	Syntrophus aciditrophicus SB
58051	core	Moritella sp. PE36	Moritella sp. PE36
59196	core	Rickettsiella grylli	Rickettsiella grylli
59374	core	Fibrobacter succinogenes	Fibrobacter succinogenes subsp. succinogenes S85
59463	core	Myotis lucifugus	Myotis lucifugus
59689	periphery	Arabidopsis lyrata	Arabidopsis lyrata
59729	core	Taeniopygia guttata	Taeniopygia guttata
59748	periphery	Phytoplasma australiense	Candidatus Phytoplasma australiense
59919	periphery	Prochlorococcus marinus pastoris	Prochlorococcus marinus subsp. pastoris str. CCMP1986
59931	periphery	Synechococcus sp. WH7805	Synechococcus sp. WH 7805
61853	core	Nomascus leucogenys	Nomascus leucogenys
62928	core	Azoarcus sp. BH72	Azoarcus sp. BH72
62977	core	Acinetobacter sp. ADP1	Acinetobacter sp. ADP1
63737	core	Nostoc punctiforme	Nostoc punctiforme PCC 73102
64091	core	Halobacterium sp. NRC1	Halobacterium sp. NRC-1
64471	periphery	Synechococcus sp. CC9311	Synechococcus sp. CC9311
65071	core	Pythium ultimum	Pythium ultimum
65393	core	Cyanothece sp. PCC7424	Cyanothece sp. PCC 7424
66692	periphery	Bacillus clausii	Bacillus clausii KSM-K16
67593	periphery	Phytophthora sojae	Phytophthora sojae
69014	periphery	Thermococcus kodakarensis	Thermococcus kodakarensis KOD1
69042	periphery	Synechococcus sp. WH5701	Synechococcus sp. WH 5701
69293	core	Gasterosteus aculeatus	Gasterosteus aculeatus
70448	core	Ostreococcus tauri	Ostreococcus tauri
70601	periphery	Pyrococcus horikoshii	Pyrococcus horikoshii OT3
71421	core	Haemophilus influenzae	Haemophilus influenzae Rd KW20
74546	periphery	Prochlorococcus marinus MIT9312	Prochlorococcus marinus str. MIT 9312
74547	periphery	Prochlorococcus marinus MIT9313	Prochlorococcus marinus str. MIT 9313
76114	core	Aromatoleum aromaticum	Aromatoleum aromaticum EbN1
76869	periphery	Pseudomonas putida GB1	Pseudomonas putida GB-1
78245	core	Xanthobacter autotrophicus	Xanthobacter autotrophicus Py2
79929	periphery	Methanothermobacter marburgensis	Methanothermobacter marburgensis str. Marburg
83332	periphery	Mycobacterium tuberculosis H37Rv	Mycobacterium tuberculosis H37Rv
83406	periphery	gamma proteobacterium HdN1	gamma proteobacterium HdN1
84588	periphery	Synechococcus sp. WH8102	Synechococcus sp. WH 8102
85643	core	Thauera sp. MZ1T	Thauera sp. MZ1T
85962	periphery	Helicobacter pylori 26695	Helicobacter pylori 26695
85963	periphery	Helicobacter pylori J99	Helicobacter pylori J99
87626	periphery	Pseudoalteromonas tunicata	Pseudoalteromonas tunicata D2
88036	core	Selaginella moellendorffii	Selaginella moellendorffii
89187	periphery	Roseovarius nubinhibens	Roseovarius nubinhibens ISM
91464	periphery	Synechococcus sp. PCC7335	Synechococcus sp. PCC 7335
93059	periphery	Prochlorococcus marinus MIT9211	Prochlorococcus marinus str. MIT 9211
93060	periphery	Prochlorococcus marinus MIT9215	Prochlorococcus marinus str. MIT 9215
93061	periphery	Staphylococcus aureus NCTC8325	Staphylococcus aureus subsp. aureus NCTC 8325
93062	periphery	Staphylococcus aureus COL	Staphylococcus aureus subsp. aureus COL
94122	periphery	Shewanella sp. ANA3	Shewanella sp. ANA-3
96561	core	Desulfococcus oleovorans	Desulfococcus oleovorans Hxd3
99287	periphery	Salmonella enterica LT2	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
99883	periphery	Tetraodon nigroviridis	Tetraodon nigroviridis
100226	periphery	Streptomyces coelicolor	Streptomyces coelicolor A3(2)
101510	periphery	Rhodococcus jostii	Rhodococcus jostii RHA1
103690	periphery	Nostoc sp. PCC7120	Nostoc sp. PCC 7120
105559	periphery	Nitrosococcus watsonii	Nitrosococcus watsonii C-113
106370	core	Frankia sp. CcI3	Frankia sp. CcI3
107806	periphery	Buchnera aphidicola APS	Buchnera aphidicola str. APS (Acyrthosiphon pisum)
110662	periphery	Synechococcus sp. CC9605	Synechococcus sp. CC9605
114615	core	Bradyrhizobium sp. ORS278	Bradyrhizobium sp. ORS 278
115713	core	Chlamydophila pneumoniae CWL029	Chlamydophila pneumoniae CWL029
117187	core	Gibberella moniliformis	Gibberella moniliformis
118168	core	Microcoleus chthonoplastes	Microcoleus chthonoplastes PCC 7420
121225	core	Pediculus humanus	Pediculus humanus
122586	core	Neisseria meningitidis	Neisseria meningitidis MC58
123214	core	Persephonella marina	Persephonella marina EX-H1
132908	core	Pteropus vampyrus	Pteropus vampyrus
134676	core	Actinoplanes sp. SE50110	Actinoplanes sp. SE50/110
135651	periphery	Caenorhabditis brenneri	Caenorhabditis brenneri
137722	periphery	Azospirillum sp. B510	Azospirillum sp. B510
138119	core	Desulfitobacterium hafniense	Desulfitobacterium hafniense Y51
140110	core	Necteria haematococca	Necteria haematococca
146891	core	Prochlorococcus marinus  AS9601	Prochlorococcus marinus str. AS9601
148304	periphery	Magnaporthe poae	Magnaporthe poae
148305	core	Magnaporthe grisea	Magnaporthe grisea
153948	periphery	Nitrosomonas sp. AL212	Nitrosomonas sp. AL212
155864	periphery	Escherichia coli O157H7	Escherichia coli O157:H7 str. EDL933
156578	periphery	Alteromonadales bacterium	Alteromonadales bacterium TW-7
156586	periphery	Flavobacteria bacterium BBFL7	Flavobacteria bacterium BBFL7
156889	core	Magnetococcus marinus	Magnetococcus marinus MC-1
158189	core	Sphaerochaeta globus	Sphaerochaeta globus str. Buddy
158190	periphery	Sphaerochaeta pleomorpha	Sphaerochaeta pleomorpha str. Grapes
158878	core	Staphylococcus aureus Mu50	Staphylococcus aureus subsp. aureus Mu50
159087	core	Dechloromonas aromatica	Dechloromonas aromatica RCB
160488	periphery	Pseudomonas putida KT2440	Pseudomonas putida KT2440
160490	periphery	Streptococcus pyogenes	Streptococcus pyogenes M1 GAS
160492	core	Xylella fastidiosa	Xylella fastidiosa 9a5c
161528	core	Erythrobacter sp. SD21	Erythrobacter sp. SD-21
162425	periphery	Emericella nidulans	Emericella nidulans
163164	core	Wolbachia sp. Dm	Wolbachia endosymbiont of Drosophila melanogaster
164328	periphery	Phytophthora ramorum	Phytophthora ramorum
164757	periphery	Mycobacterium sp. JLS	Mycobacterium sp. JLS
166314	periphery	Synechococcus sp. WH8109	Synechococcus sp. WH 8109
167539	periphery	Prochlorococcus marinus marinus	Prochlorococcus marinus subsp. marinus str. CCMP1375
167542	periphery	Prochlorococcus marinus MIT9515	Prochlorococcus marinus str. MIT 9515
167546	periphery	Prochlorococcus marinus MIT9301	Prochlorococcus marinus str. MIT 9301
167555	periphery	Prochlorococcus marinus NATL1A	Prochlorococcus marinus str. NATL1A
167879	core	Colwellia psychrerythraea	Colwellia psychrerythraea 34H
169963	periphery	Listeria monocytogenes EGDe	Listeria monocytogenes EGD-e
170187	core	Streptococcus pneumoniae TIGR4	Streptococcus pneumoniae TIGR4
171101	periphery	Streptococcus pneumoniae R6	Streptococcus pneumoniae R6
176279	periphery	Staphylococcus epidermidis RP62A	Staphylococcus epidermidis RP62A
176280	periphery	Staphylococcus epidermidis ATCC12228	Staphylococcus epidermidis ATCC 12228
176299	periphery	Agrobacterium tumefaciens C58	Agrobacterium tumefaciens str. C58
177416	core	Francisella tularensis  tularensis	Francisella tularensis subsp. tularensis SCHU S4
177437	core	Desulfobacterium autotrophicum	Desulfobacterium autotrophicum HRM2
177439	core	Desulfotalea psychrophila	Desulfotalea psychrophila LSv54
178306	periphery	Pyrobaculum aerophilum	Pyrobaculum aerophilum str. IM2
180281	core	Cyanobium sp. PCC7001	Cyanobium sp. PCC 7001
182082	periphery	Chlamydophila pneumoniae TW183	Chlamydophila pneumoniae TW-183
184922	periphery	Giardia lamblia	Giardia lamblia ATCC 50803
186497	periphery	Pyrococcus furiosus	Pyrococcus furiosus DSM 3638
187272	core	Alkalilimnicola ehrlichii	Alkalilimnicola ehrlichii MLHE-1
187410	periphery	Yersinia pestis KIM10	Yersinia pestis KIM10
187420	core	Methanothermobacter thermautotrophicus	Methanothermobacter thermautotrophicus str. Delta H
188626	core	Dermacoccus sp. Ellin185	Dermacoccus sp. Ellin185
188937	periphery	Methanosarcina acetivorans	Methanosarcina acetivorans C2A
189518	core	Leptospira interrogans Lai	Leptospira interrogans serovar Lai str. 56601
190192	core	Methanopyrus kandleri	Methanopyrus kandleri AV19
190304	periphery	Fusobacterium nucleatum nucleatum	Fusobacterium nucleatum subsp. nucleatum ATCC 25586
190485	core	Xanthomonas campestris ATCC33913	Xanthomonas campestris pv. campestris str. ATCC 33913
190486	periphery	Xanthomonas axonopodis	Xanthomonas axonopodis pv. citri str. 306
190650	periphery	Caulobacter crescentus	Caulobacter crescentus CB15
192222	core	Campylobacter jejuni NCTC11168	Campylobacter jejuni subsp. jejuni NCTC 11168
192952	periphery	Methanosarcina mazei	Methanosarcina mazei Go1
194439	core	Chlorobium tepidum	Chlorobium tepidum TLS
195103	periphery	Clostridium perfringens ATCC13124	Clostridium perfringens ATCC 13124
196162	core	Nocardioides sp. JS614	Nocardioides sp. JS614
196164	periphery	Corynebacterium efficiens	Corynebacterium efficiens YS-314
196627	periphery	Corynebacterium glutamicum	Corynebacterium glutamicum ATCC 13032
197221	core	Thermosynechococcus elongatus	Thermosynechococcus elongatus BP-1
198094	periphery	Bacillus anthracis Ames	Bacillus anthracis str. Ames
198214	core	Shigella flexneri	Shigella flexneri 2a str. 301
198628	periphery	Dickeya dadantii 3937	Dickeya dadantii 3937
198804	periphery	Buchnera aphidicola Sg	Buchnera aphidicola str. Sg (Schizaphis graminum)
199310	periphery	Escherichia coli CFT073	Escherichia coli CFT073
203119	periphery	Clostridium thermocellum	Clostridium thermocellum ATCC 27405
203120	periphery	Leuconostoc mesenteroides	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293
203122	core	Saccharophagus degradans	Saccharophagus degradans 2-40
203123	core	Oenococcus oeni	Oenococcus oeni PSU-1
203124	core	Trichodesmium erythraeum	Trichodesmium erythraeum IMS101
203267	core	Tropheryma whipplei	Tropheryma whipplei str. Twist
203275	core	Tannerella forsythia	Tannerella forsythia ATCC 43037
203907	periphery	Blochmannia floridanus	Candidatus Blochmannia floridanus
204536	core	Sulfurihydrogenibium azorense	Sulfurihydrogenibium azorense Az-Fu1
204669	core	Koribacter versatilis	Candidatus Koribacter versatilis Ellin345
204773	core	Herminiimonas arsenicoxydans	Herminiimonas arsenicoxydans
205914	core	Haemophilus somnus	Haemophilus somnus 129PT
205918	periphery	Pseudomonas syringae syringae	Pseudomonas syringae pv. syringae B728a
205920	periphery	Ehrlichia chaffeensis	Ehrlichia chaffeensis str. Arkansas
205922	periphery	Pseudomonas fluorescens Pf01	Pseudomonas fluorescens Pf0-1
206672	periphery	Bifidobacterium longum	Bifidobacterium longum NCC2705
207559	periphery	Desulfovibrio alaskensis	Desulfovibrio alaskensis G20
207949	core	Bermanella marisrubri	Bermanella marisrubri
207954	core	Neptuniibacter caesariensis	Neptuniibacter caesariensis
208348	periphery	Puccinia triticina	Puccinia triticina
208596	periphery	Carnobacterium sp. 174	Carnobacterium sp. 17-4
208964	periphery	Pseudomonas aeruginosa	Pseudomonas aeruginosa PAO1
210007	periphery	Streptococcus mutans	Streptococcus mutans UA159
211110	periphery	Streptococcus agalactiae	Streptococcus agalactiae NEM316
211586	periphery	Shewanella oneidensis	Shewanella oneidensis MR-1
212042	core	Anaplasma phagocytophilum	Anaplasma phagocytophilum HZ
212717	core	Clostridium tetani	Clostridium tetani E88
213810	periphery	Ruminococcus champanellensis	Ruminococcus champanellensis 18P13
214092	core	Yersinia pestis CO92	Yersinia pestis CO92
214684	periphery	Cryptococcus neoformans JEC21	Cryptococcus neoformans var. neoformans JEC21
216432	core	Croceibacter atlanticus	Croceibacter atlanticus HTCC2559
216591	periphery	Burkholderia cenocepacia	Burkholderia cenocepacia J2315
216594	periphery	Mycobacterium marinum	Mycobacterium marinum M
216595	periphery	Pseudomonas fluorescens SBW25	Pseudomonas fluorescens SBW25
216596	core	Rhizobium leguminosarum viciae	Rhizobium leguminosarum bv. viciae 3841
216895	core	Vibrio vulnificus	Vibrio vulnificus CMCP6
218491	core	Pectobacterium atrosepticum	Pectobacterium atrosepticum SCRI1043
218493	periphery	Salmonella bongori	Salmonella bongori NCTC 12419
218495	periphery	Streptococcus uberis	Streptococcus uberis 0140J
218497	periphery	Chlamydophila abortus	Chlamydophila abortus S26/3
219305	core	Micromonospora sp. ATCC39149	Micromonospora sp. ATCC 39149
220341	core	Salmonella enterica CT18	Salmonella enterica subsp. enterica serovar Typhi str. CT18
220664	periphery	Pseudomonas fluorescens Pf5	Pseudomonas fluorescens Pf-5
220668	periphery	Lactobacillus plantarum	Lactobacillus plantarum WCFS1
221109	core	Oceanobacillus iheyensis	Oceanobacillus iheyensis HTE831
221359	periphery	Synechococcus sp. RS9916	Synechococcus sp. RS9916
221360	periphery	Synechococcus sp. RS9917	Synechococcus sp. RS9917
221988	core	Mannheimia succiniciproducens	Mannheimia succiniciproducens MBEL55E
222891	periphery	Neorickettsia sennetsu	Neorickettsia sennetsu str. Miyayama
222929	core	Coccidioides posadasii	Coccidioides posadasii C735 delta SOWgp
223283	periphery	Pseudomonas syringae tomato	Pseudomonas syringae pv. tomato str. DC3000
223926	periphery	Vibrio parahaemolyticus	Vibrio parahaemolyticus RIMD 2210633
224308	periphery	Bacillus subtilis 168	Bacillus subtilis subsp. subtilis str. 168
224324	core	Aquifex aeolicus	Aquifex aeolicus VF5
224325	periphery	Archaeoglobus fulgidus	Archaeoglobus fulgidus DSM 4304
224326	periphery	Borrelia burgdorferi	Borrelia burgdorferi B31
224911	periphery	Bradyrhizobium japonicum USDA110	Bradyrhizobium japonicum USDA 110
224914	core	Brucella melitensis	Brucella melitensis bv. 1 str. 16M
224915	periphery	Buchnera aphidicola Bp	Buchnera aphidicola str. Bp (Baizongia pistaciae)
225849	periphery	Shewanella piezotolerans	Shewanella piezotolerans WP3
225937	periphery	Marinobacter adhaerens	Marinobacter adhaerens HP15
226185	core	Enterococcus faecalis	Enterococcus faecalis V583
226186	periphery	Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron VPI-5482
226900	periphery	Bacillus cereus ATCC14579	Bacillus cereus ATCC 14579
227377	core	Coxiella burnetii	Coxiella burnetii RSA 493
227882	periphery	Streptomyces avermitilis	Streptomyces avermitilis MA-4680
227941	core	Chlamydophila caviae	Chlamydophila caviae GPIC
228399	core	Actinobacillus pleuropneumoniae 1	Actinobacillus pleuropneumoniae serovar 1 str. 4074
228405	core	Hyphomonas neptunium	Hyphomonas neptunium ATCC 15444
228410	periphery	Nitrosomonas europaea	Nitrosomonas europaea ATCC 19718
228908	core	Nanoarchaeum equitans	Nanoarchaeum equitans Kin4-M
229533	periphery	Gibberella zeae PH1	Gibberella zeae PH 1
232348	periphery	Synechococcus sp. CB0101	Synechococcus sp. CB0101
232363	periphery	Synechococcus sp. CB0205	Synechococcus sp. CB0205
232721	core	Acidovorax sp. JS42	Acidovorax sp. JS42
233412	periphery	Haemophilus ducreyi	Haemophilus ducreyi 35000HP
234267	core	Solibacter usitatus	Candidatus Solibacter usitatus Ellin6076
234621	periphery	Rhodococcus erythropolis	Rhodococcus erythropolis PR4
234826	core	Anaplasma marginale StMaries	Anaplasma marginale str. St. Maries
234831	core	Pseudoalteromonas sp. SM9913	Pseudoalteromonas sp. SM9913
235279	periphery	Helicobacter hepaticus	Helicobacter hepaticus ATCC 51449
235909	core	Geobacillus kaustophilus	Geobacillus kaustophilus HTA426
236097	core	Alcanivorax sp. DG881	Alcanivorax sp. DG881
237727	periphery	Erythrobacter sp. NAP1	Erythrobacter sp. NAP1
240015	core	Acidobacterium capsulatum	Acidobacterium capsulatum ATCC 51196
240016	core	Verrucomicrobium spinosum	Verrucomicrobium spinosum DSM 4136
240176	core	Coprinopsis cinerea	Coprinopsis cinerea okayama7_130
240292	core	Anabaena variabilis	Anabaena variabilis ATCC 29413
242619	core	Porphyromonas gingivalis W83	Porphyromonas gingivalis W83
243090	core	Rhodopirellula baltica	Rhodopirellula baltica SH 1
243159	periphery	Acidithiobacillus ferrooxidans ATCC23270	Acidithiobacillus ferrooxidans ATCC 23270
243160	periphery	Burkholderia mallei	Burkholderia mallei ATCC 23344
243161	core	Chlamydia muridarum	Chlamydia muridarum Nigg
243164	core	Dehalococcoides ethenogenes	Dehalococcoides ethenogenes 195
243230	periphery	Deinococcus radiodurans	Deinococcus radiodurans R1
243231	periphery	Geobacter sulfurreducens	Geobacter sulfurreducens PCA
243232	periphery	Methanocaldococcus jannaschii	Methanocaldococcus jannaschii DSM 2661
243233	core	Methylococcus capsulatus	Methylococcus capsulatus str. Bath
243265	core	Photorhabdus luminescens	Photorhabdus luminescens subsp. laumondii TTO1
243272	periphery	Mycoplasma arthritidis	Mycoplasma arthritidis 158L3-1
243273	periphery	Mycoplasma genitalium	Mycoplasma genitalium G37
243274	periphery	Thermotoga maritima	Thermotoga maritima MSB8
243275	periphery	Treponema denticola	Treponema denticola ATCC 35405
243276	periphery	Treponema pallidum	Treponema pallidum subsp. pallidum str. Nichols
243277	core	Vibrio cholerae O1	Vibrio cholerae O1 biovar El Tor str. N16961
243365	core	Chromobacterium violaceum	Chromobacterium violaceum ATCC 12472
244592	periphery	Labrenzia alexandrii	Labrenzia alexandrii DFL-11
245014	periphery	butyrate-producing bacterium SS34	butyrate-producing bacterium SS3/4
245018	periphery	butyrate-producing bacterium SSC2	butyrate-producing bacterium SSC/2
246194	core	Carboxydothermus hydrogenoformans	Carboxydothermus hydrogenoformans Z-2901
246195	core	Dichelobacter nodosus	Dichelobacter nodosus VCS1703A
246196	periphery	Mycobacterium smegmatis	Mycobacterium smegmatis str. MC2 155
246197	periphery	Myxococcus xanthus	Myxococcus xanthus DK 1622
246199	periphery	Ruminococcus albus 8	Ruminococcus albus 8
246200	periphery	Ruegeria pomeroyi	Ruegeria pomeroyi DSS-3
246201	periphery	Streptococcus mitis NCTC12261	Streptococcus mitis NCTC 12261
246410	periphery	Coccidioides immitis	Coccidioides immitis RS
246969	periphery	Thermococcus sp. AM4	Thermococcus sp. AM4
247156	periphery	Nocardia farcinica	Nocardia farcinica IFM 10152
247633	periphery	gamma proteobacterium HTCC2143	marine gamma proteobacterium HTCC2143
247634	periphery	gamma proteobacterium HTCC2148	marine gamma proteobacterium HTCC2148
247639	periphery	gamma proteobacterium HTCC2080	marine gamma proteobacterium HTCC2080
251221	core	Gloeobacter violaceus	Gloeobacter violaceus PCC 7421
252305	core	Oceanicola batsensis	Oceanicola batsensis HTCC2597
253839	periphery	Streptomyces sp. C	Streptomyces sp. C
